,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-12-21,166.84,168.09,165.69,166.145,166.145,3766576,3766576,-0.695,-0.41656677,166.64,"December 21, 23",-0.0041656677
1,2023-12-20,167.99,169.41,166.45,166.55,166.55,10375490,10208668,-1.44,-0.85719,167.69,"December 20, 23",-0.0085719
2,2023-12-19,166.0,168.47,165.55,168.45,168.45,9994691,10345700,2.45,1.48,167.72,"December 19, 23",0.0148
3,2023-12-18,165.92,167.13,165.63,166.23,166.23,8469608,8469600,0.31,0.18684,166.24,"December 18, 23",0.0018684
4,2023-12-15,163.08,165.28,162.39,165.23,165.23,20274148,20305900,2.15,1.32,164.6,"December 15, 23",0.0132
5,2023-12-14,161.83,164.8399,161.705,163.99,163.99,13642990,13643000,2.16,1.33,163.55,"December 14, 23",0.0133
6,2023-12-13,160.52,162.03,159.77,161.06,161.06,12379098,12379100,0.54,0.33641,160.88,"December 13, 23",0.0033641
7,2023-12-12,159.23,160.645,158.88,160.52,160.52,10222978,10223000,1.29,0.81015,160.21,"December 12, 23",0.0081015
8,2023-12-11,158.52,159.3,158.15,159.1,159.1,8093908,8093900,0.58,0.36588,158.91,"December 11, 23",0.0036588
9,2023-12-08,157.26,158.78,156.98,158.52,158.52,7369370,7366200,1.26,0.80122,158.18,"December 08, 23",0.0080122
10,2023-12-07,156.69,157.31,156.15,156.79,156.79,8130874,8130900,0.1,0.06382028,156.75,"December 07, 23",0.0006382028
11,2023-12-06,158.84,159.22,156.0,156.31,156.31,9366004,9366000,-2.53,-1.59,157.13,"December 06, 23",-0.0159
12,2023-12-05,157.26,158.5,156.97,157.97,157.97,9135597,9135600,0.71,0.45148,157.81,"December 05, 23",0.0045148
13,2023-12-04,156.02,158.05,155.88,157.99,157.99,9607465,9607500,1.97,1.26,157.51,"December 04, 23",0.0126
14,2023-12-01,155.82,157.86,155.82,156.84,156.84,8916001,8913000,1.02,0.6546,157.05,"December 01, 23",0.006546
15,2023-11-30,154.91,156.13,154.381,156.08,156.08,9869790,9869800,1.17,0.75528,155.69,"November 30, 23",0.0075528
16,2023-11-29,154.17,155.625,154.0,154.32,154.32,9126053,9126100,0.15,0.09729519,154.74,"November 29, 23",0.0009729519
17,2023-11-28,153.22,153.87,152.72,153.54,153.54,6582937,6582700,0.32,0.20885,153.49,"November 28, 23",0.0020885
18,2023-11-27,153.43,153.53,152.71,153.19,153.19,6259116,6259100,-0.24,-0.15642,153.08,"November 27, 23",-0.0015642
19,2023-11-24,153.59,154.438,153.275,153.54,153.54,3496941,3496900,-0.05,-0.0325542,153.75,"November 24, 23",-0.000325542
20,2023-11-22,153.41,153.88,152.9,153.33,153.33,5175135,5174500,-0.08,-0.05214784,153.39,"November 22, 23",-0.0005214784
21,2023-11-21,153.2,153.63,152.57,152.97,152.97,7083506,7083500,-0.23,-0.15013,153.07,"November 21, 23",-0.0015013
22,2023-11-20,152.08,153.75,151.92,153.29,153.29,6885249,7019000,1.21,0.79563,153.02,"November 20, 23",0.0079563
23,2023-11-17,152.2,152.86,151.54,152.82,152.82,7814064,7812400,0.62,0.40736,152.47,"November 17, 23",0.0040736
24,2023-11-16,150.09,151.525,150.09,151.45,151.45,8126188,8126200,1.36,0.90612,150.86,"November 16, 23",0.0090612
25,2023-11-15,148.46,150.16,148.46,149.74,149.74,8365296,8365300,1.28,0.86219,149.62,"November 15, 23",0.0086219
