,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-12-21,488.11,490.9492,484.19,485.09,485.09,21058742,21058742,-3.02,-0.618713,486.74,"December 21, 23",-0.00618713
1,2023-12-20,496.55,499.99,480.98,481.11,481.11,39486943,39482186,-15.44,-3.11,491.87,"December 20, 23",-0.0311
2,2023-12-19,494.24,497.0,488.95,496.04,496.04,46444446,46444400,1.8,0.3642,493.15,"December 19, 23",0.003642
3,2023-12-18,494.0,504.3299,491.5,500.77,500.77,41108717,41258700,6.77,1.37,498.97,"December 18, 23",0.0137
4,2023-12-15,481.94,494.04,481.2,488.9,488.9,47913358,47947800,6.96,1.44,489.41,"December 15, 23",0.0144
5,2023-12-14,483.9,486.7,474.22,483.5,483.5,39123174,39123200,-0.4,-0.08266171,481.29,"December 14, 23",-0.0008266171
6,2023-12-13,476.29,485.94,476.08,480.88,480.88,44779186,44779200,4.59,0.9637,481.78,"December 13, 23",0.009637
7,2023-12-12,460.46,476.66,460.46,476.57,476.57,37238686,37238700,16.11,3.5,471.44,"December 12, 23",0.035
8,2023-12-11,474.91,475.31,458.3,466.27,466.27,50972809,50972800,-8.64,-1.82,465.33,"December 11, 23",-0.0182
9,2023-12-08,465.95,477.4085,465.5,475.06,475.06,35922370,35880300,9.11,1.96,473.93,"December 08, 23",0.0196
10,2023-12-07,457.0,466.29,456.04,465.96,465.96,35082255,35082300,8.96,1.96,462.73,"December 07, 23",0.0196
11,2023-12-06,472.145,473.87,454.12,455.03,455.03,38058955,38059000,-17.115,-3.62,462.36,"December 06, 23",-0.0362
12,2023-12-05,454.66,466.0,452.71,465.66,465.66,37171762,37171800,11.0,2.42,461.56,"December 05, 23",0.0242
13,2023-12-04,460.77,460.77,450.1,455.1,455.06,43754344,43754300,-5.67,-1.23,454.36,"December 04, 23",-0.0123
14,2023-12-01,465.25,472.0,461.87,467.65,467.61,36931701,36880900,2.4,0.51585,467.45,"December 01, 23",0.0051585
15,2023-11-30,480.24,481.1,464.22,467.7,467.66,52624663,52624700,-12.54,-2.61,469.67,"November 30, 23",-0.0261
16,2023-11-29,483.79,487.62,478.6,481.4,481.36,38200500,38200500,-2.39,-0.49402,482.54,"November 29, 23",-0.0049402
17,2023-11-28,482.36,483.23,474.73,478.21,478.17,40149100,40149100,-4.15,-0.86035,478.72,"November 28, 23",-0.0086035
18,2023-11-27,478.0,485.3,476.52,482.42,482.38,39566200,39566200,4.42,0.92469,481.41,"November 27, 23",0.0092469
19,2023-11-24,484.7,489.21,477.45,477.76,477.72,29464500,29464500,-6.94,-1.43,481.47,"November 24, 23",-0.0143
20,2023-11-22,498.52,503.35,476.9,487.16,487.12,89942000,89942000,-11.36,-2.28,489.14,"November 22, 23",-0.0228
21,2023-11-21,501.26,505.17,492.22,499.44,499.4,56574700,56574700,-1.82,-0.36309,498.94,"November 21, 23",-0.0036309
22,2023-11-20,493.12,505.48,491.81,504.09,504.05,41412000,41412000,10.97,2.22,500.46,"November 20, 23",0.0222
23,2023-11-17,495.24,497.17,490.07,492.98,492.94,32520500,32520500,-2.26,-0.45634,493.41,"November 17, 23",-0.0045634
24,2023-11-16,486.79,495.25,483.3,494.8,494.76,33975600,33975600,8.01,1.65,491.12,"November 16, 23",0.0165
25,2023-11-15,499.35,499.6,482.0,488.88,488.84,47549700,47549700,-10.47,-2.1,490.16,"November 15, 23",-0.021
26,2023-11-14,496.8,498.34,490.4,496.56,496.52,41695400,41695400,-0.24,-0.04830918,495.1,"November 14, 23",-0.0004830918
27,2023-11-13,483.2,491.16,480.99,486.2,486.16,38413600,38413600,3.0,0.62086,486.12,"November 13, 23",0.0062086
28,2023-11-10,475.0,484.72,472.83,483.35,483.31,42124500,42124500,8.35,1.76,480.3,"November 10, 23",0.0176
29,2023-11-09,474.67,482.3,467.5,469.5,469.46,54049600,54049600,-5.17,-1.09,473.1,"November 09, 23",-0.0109
30,2023-11-08,461.0,468.67,459.68,465.74,465.7,34671900,34671900,4.74,1.03,464.7,"November 08, 23",0.0103
31,2023-11-07,457.19,462.18,451.58,459.55,459.51,34316500,34316500,2.36,0.5162,457.77,"November 07, 23",0.005162
32,2023-11-06,452.85,459.35,448.99,457.51,457.47,40073300,40073300,4.66,1.03,455.28,"November 06, 23",0.0103
33,2023-11-03,440.2,453.09,437.23,450.05,450.01,42385500,42385500,9.85,2.24,446.79,"November 03, 23",0.0224
34,2023-11-02,433.28,438.84,428.94,435.06,435.02,40917200,40917200,1.78,0.41082,434.28,"November 02, 23",0.0041082
35,2023-11-01,408.84,423.81,408.69,423.25,423.21,43759300,43759300,14.41,3.52,418.58,"November 01, 23",0.0352
36,2023-10-31,404.5,408.79,392.3,407.8,407.76,51796900,51796900,3.3,0.81582,402.96,"October 31, 23",0.0081582
37,2023-10-30,410.87,417.66,404.81,411.61,411.57,38802800,38802800,0.74,0.18011,411.36,"October 30, 23",0.0018011
38,2023-10-27,411.3,412.06,400.15,405.0,404.96,41678400,41678400,-6.3,-1.53,405.74,"October 27, 23",-0.0153
39,2023-10-26,418.53,422.56,398.8,403.26,403.22,54100100,54100100,-15.27,-3.65,408.21,"October 26, 23",-0.0365
40,2023-10-25,433.98,436.5,415.55,417.79,417.75,39837900,39837900,-16.19,-3.73,423.28,"October 25, 23",-0.0373
