,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-12-21,471.33,472.435,468.84,470.49,470.49,48259326,48259326,-0.84,-0.17821908,470.59,"December 21, 23",-0.0017821908
1,2023-12-20,473.96,475.895,467.82,468.26,468.26,98478541,95761148,-5.7,-1.2,471.79,"December 20, 23",-0.012
2,2023-12-19,472.53,474.92,472.45,474.84,474.84,55261805,55761800,2.31,0.48886,473.98,"December 19, 23",0.0048886
3,2023-12-18,470.98,472.98,469.8929,471.97,471.97,70375285,70375300,0.99,0.2102,471.86,"December 18, 23",0.002102
4,2023-12-15,469.49,470.7,467.4263,469.33,469.33,141553673,141319300,-0.16,-0.03407953,469.35,"December 15, 23",-0.0003407953
5,2023-12-14,472.5,473.73,469.25,472.01,470.1,118424368,119026000,-0.49,-0.1037,471.71,"December 14, 23",-0.001037
6,2023-12-13,464.49,470.7599,464.12,470.5,468.6,93221960,93278000,6.01,1.29,467.56,"December 13, 23",0.0129
7,2023-12-12,461.63,464.2,460.6,464.1,462.23,68327617,68327600,2.47,0.53506,462.92,"December 12, 23",0.0053506
8,2023-12-11,459.69,462.17,459.47,461.99,460.12,64895247,65002200,2.3,0.50034,460.92,"December 11, 23",0.0050034
9,2023-12-08,457.46,460.75,457.21,460.2,458.34,83080900,83080900,2.74,0.59896,459.39,"December 08, 23",0.0059896
10,2023-12-07,456.91,458.9,456.29,458.23,456.38,66995400,66995400,1.32,0.2889,457.81,"December 07, 23",0.002889
11,2023-12-06,458.81,458.84,454.31,454.76,452.92,69124700,69124700,-4.05,-0.88272,455.97,"December 06, 23",-0.0088272
12,2023-12-05,455.26,457.59,454.87,456.6,454.76,69793500,69793500,1.34,0.29434,456.35,"December 05, 23",0.0029434
13,2023-12-04,455.6,459.12,454.34,456.69,454.85,72430900,72430900,1.09,0.23924,456.72,"December 04, 23",0.0023924
14,2023-12-01,455.77,459.65,455.16,459.1,457.25,89097900,89097900,3.33,0.73063,457.97,"December 01, 23",0.0073063
15,2023-11-30,455.48,456.76,453.34,456.4,454.56,79752700,79752700,0.92,0.20198,455.5,"November 30, 23",0.0020198
16,2023-11-29,457.15,458.32,454.2,454.61,452.77,63146000,63146000,-2.54,-0.55562,455.71,"November 29, 23",-0.0055562
17,2023-11-28,454.08,456.27,453.5,454.93,453.09,62115000,62115000,0.85,0.18719,454.9,"November 28, 23",0.0018719
18,2023-11-27,454.65,455.49,454.08,454.48,452.64,50506000,50506000,-0.17,-0.0373914,454.68,"November 27, 23",-0.000373914
19,2023-11-24,455.07,455.5,454.73,455.3,453.46,29737400,29737400,0.23,0.05054167,455.18,"November 24, 23",0.0005054167
20,2023-11-22,454.98,456.38,453.89,455.02,453.18,59394900,59394900,0.04,0.0087916,455.1,"November 22, 23",8.7916e-05
21,2023-11-21,453.18,454.13,451.96,453.27,451.44,49244600,49244600,0.09,0.01985966,453.12,"November 21, 23",0.0001985966
22,2023-11-20,450.53,455.13,450.52,454.26,452.43,69936200,69936200,3.73,0.82791,453.3,"November 20, 23",0.0082791
23,2023-11-17,450.24,451.42,449.29,450.79,448.97,83133200,83133200,0.55,0.12216,450.5,"November 17, 23",0.0012216
24,2023-11-16,449.22,450.56,448.12,450.23,448.41,66665800,66665800,1.01,0.22483,449.64,"November 16, 23",0.0022483
25,2023-11-15,450.11,451.38,448.8,449.68,447.86,77327600,77327600,-0.43,-0.0955322,449.95,"November 15, 23",-0.000955322
26,2023-11-14,446.32,450.06,446.09,448.73,446.92,97176900,97176900,2.41,0.53997,448.29,"November 14, 23",0.0053997
27,2023-11-13,439.23,441.33,438.42,440.19,438.41,52236100,52236100,0.96,0.21856,439.98,"November 13, 23",0.0021856
28,2023-11-10,435.98,440.93,433.83,440.61,438.83,89462200,89462200,4.63,1.06,438.46,"November 10, 23",0.0106
29,2023-11-09,438.43,438.47,433.4,433.84,432.09,83174400,83174400,-4.59,-1.05,435.24,"November 09, 23",-0.0105
30,2023-11-08,437.55,438.09,434.87,437.25,435.48,61746000,61746000,-0.3,-0.06856359,436.74,"November 08, 23",-0.0006856359
31,2023-11-07,435.69,437.59,434.51,436.93,435.17,64256100,64256100,1.24,0.28461,436.34,"November 07, 23",0.0028461
32,2023-11-06,435.47,436.15,433.68,435.69,433.93,67831700,67831700,0.22,0.05052013,435.17,"November 06, 23",0.0005052013
33,2023-11-03,433.14,436.29,433.01,434.69,432.93,100110800,100110800,1.55,0.35785,434.66,"November 03, 23",0.0035785
34,2023-11-02,426.58,430.92,426.56,430.76,429.02,94938900,94938900,4.18,0.97989,429.41,"November 02, 23",0.0097989
35,2023-11-01,419.2,423.5,418.65,422.66,420.95,98068100,98068100,3.46,0.82538,421.6,"November 01, 23",0.0082538
36,2023-10-31,416.18,418.53,414.21,418.2,416.51,79665200,79665200,2.02,0.48537,416.98,"October 31, 23",0.0048537
37,2023-10-30,413.56,416.68,412.22,415.59,413.91,86562700,86562700,2.03,0.49086,414.83,"October 30, 23",0.0049086
38,2023-10-27,414.19,414.6,409.21,410.68,409.02,107367700,107367700,-3.51,-0.84744,411.5,"October 27, 23",-0.0084744
39,2023-10-26,416.45,417.33,411.6,412.55,410.88,115156800,115156800,-3.9,-0.93649,413.83,"October 26, 23",-0.0093649
40,2023-10-25,421.89,421.92,417.02,417.55,415.86,94223200,94223200,-4.34,-1.03,418.83,"October 25, 23",-0.0103
41,2023-10-24,422.65,424.82,420.74,423.63,421.92,78564200,78564200,0.98,0.23187,423.06,"October 24, 23",0.0023187
42,2023-10-23,419.61,424.45,417.8,420.46,418.76,92035100,92035100,0.85,0.20257,420.9,"October 23, 23",0.0020257
43,2023-10-20,425.98,426.54,421.08,421.19,419.49,123845800,123845800,-4.79,-1.12,422.94,"October 20, 23",-0.0112
44,2023-10-19,430.95,432.82,425.73,426.43,424.71,121323000,121323000,-4.52,-1.05,428.33,"October 19, 23",-0.0105
45,2023-10-18,434.19,435.18,429.09,430.21,428.47,93559800,93559800,-3.98,-0.91665,431.49,"October 18, 23",-0.0091665
46,2023-10-17,432.81,438.14,432.45,436.02,434.26,75324700,75324700,3.21,0.74166,435.54,"October 17, 23",0.0074166
47,2023-10-16,433.82,437.14,433.57,436.04,434.28,75433200,75433200,2.22,0.51173,435.58,"October 16, 23",0.0051173
48,2023-10-13,435.21,436.45,429.88,431.5,429.76,95143100,95143100,-3.71,-0.85246,432.61,"October 13, 23",-0.0085246
49,2023-10-12,436.95,437.34,431.23,433.66,431.91,81154200,81154200,-3.29,-0.75295,434.08,"October 12, 23",-0.0075295
50,2023-10-11,435.64,436.58,433.18,436.32,434.56,62451700,62451700,0.68,0.15609,435.36,"October 11, 23",0.0015609
51,2023-10-10,432.94,437.22,432.53,434.54,432.79,78607300,78607300,1.6,0.36957,434.76,"October 10, 23",0.0036957
52,2023-10-09,427.58,432.88,427.01,432.29,430.54,80374400,80374400,4.71,1.1,430.73,"October 09, 23",0.011
53,2023-10-06,421.97,431.13,420.6,429.54,427.81,113202700,113202700,7.57,1.79,427.09,"October 06, 23",0.0179
54,2023-10-05,424.36,425.37,421.17,424.5,422.79,70142700,70142700,0.14,0.03299086,423.68,"October 05, 23",0.0003299086
55,2023-10-04,422.07,425.43,420.56,424.66,422.95,87453000,87453000,2.59,0.61364,423.55,"October 04, 23",0.0061364
56,2023-10-03,425.06,427.37,420.18,421.59,419.89,103760600,103760600,-3.47,-0.81636,423.05,"October 03, 23",-0.0081636
57,2023-10-02,426.62,428.6,424.46,427.31,425.58,83798600,83798600,0.69,0.16174,426.79,"October 02, 23",0.0016174
58,2023-09-29,431.67,431.85,425.91,427.48,425.75,115078500,115078500,-4.19,-0.97065,428.41,"September 29, 23",-0.0097065
59,2023-09-28,425.48,430.25,424.87,428.52,426.79,92258300,92258300,3.04,0.71449,427.88,"September 28, 23",0.0071449
60,2023-09-27,427.09,427.67,422.29,426.05,424.33,104705800,104705800,-1.04,-0.24351,425.34,"September 27, 23",-0.0024351
61,2023-09-26,429.09,429.82,425.02,425.88,424.16,96168400,96168400,-3.21,-0.74809,426.91,"September 26, 23",-0.0074809
62,2023-09-25,429.17,432.27,428.72,432.23,430.48,70874500,70874500,3.06,0.713,431.07,"September 25, 23",0.00713
63,2023-09-22,432.45,434.1,429.99,430.42,428.68,100829700,100829700,-2.03,-0.46942,431.5,"September 22, 23",-0.0046942
64,2023-09-21,435.7,435.97,431.23,431.39,429.65,103976100,103976100,-4.31,-0.98921,432.86,"September 21, 23",-0.0098921
65,2023-09-20,444.01,444.44,438.43,438.64,436.87,82562600,82562600,-5.37,-1.21,440.5,"September 20, 23",-0.0121
66,2023-09-19,442.68,443.29,439.94,442.71,440.92,66514600,66514600,0.03,0.0067769,441.98,"September 19, 23",6.7769e-05
67,2023-09-18,443.05,444.97,442.56,443.63,441.84,55752200,55752200,0.58,0.13091,443.72,"September 18, 23",0.0013091
